ubiquitous|вездесущий
seismic|сейсмический
selectivity|избирательность
self-aggrandizement|самовозвеличивание
shamble|плестись
sheaf|сноп
shimmer|мерцать
shoal|отмель
side-step|уклоняться
singe|опалять
skew|искажать
slab|плита
slither|скользить
smattering|поверхностное знание
snippet|отрывок
snobbery|снобизм
solicit|добиваться
soliloquize|произносить монолог
solipsism|солипсизм
solitariness|одиночество
solitary|одинокий
solitude|уединение
spatial|пространственный
spatially|пространственно
spire|шпиль
splinter|раскалываться
spontaneity|спонтанность
spurious|ложный
spuriously|ложно
squint|щуриться
squirm|извиваться
squirmy|извивающийся
stabilize|стабилизировать
standing|положение
sterility|бесплодие
stipulate|оговаривать
stipulation|условие
stoicism|стоицизм
stratosphere|стратосфера
stringent|строгий
stringently|строго
stultify|подавлять
stultifyingly|подавляюще
subsidize|субсидировать
subsidy|субсидия
subsist|существовать
subsistence|существование
substantiate|подтверждать
succumb|поддаваться
suffuse|заливать
sulphur|сера
sulphuric|серный
summarily|незамедлительно
superfluous|излишний
superfluously|излишне
surrealism|сюрреализм
surrealist|сюрреалист
surreptitious|тайный
surreptitiously|тайком
swivel|вращаться
syllabic|слоговой
synthesis|синтез
tacit|молчаливый
tacitly|молчаливо
taciturnity|молчаливость
tactic|тактика
tactical|тактический
tactically|тактически
tantalize|дразнить
tantalizingly|дразняще
taste-maker|законодатель вкуса
teem|кишеть
telescopic|телескопический
telescopically|телескопически
tenacious|упорный
tenaciously|упорно
tenacity|упорство
testimonial|рекомендация
tetchy|раздражительный
thicket|чаща
timidity|робость
topographical|топографический
topographically|топографически
topography|топография
topple|опрокидывать
torrential|проливной
totemic|тотемный
totter|шататься
tranquilize|успокаивать
transmitter|передатчик
treacherous|предательский
treacherously|предательски
treachery|предательство
trifle|мелочь
truism|трюизм
turret|башня
unadulterated|чистый
uncanny|жуткий
undemonstrative|сдержанный
undemonstratively|сдержанно
undiminishing|неубывающий
unencumbered|несвязанный
unequivocal|однозначный
unequivocally|однозначно
unexceptional|заурядный
unexceptionally|заурядно
unexcused|неоправданный
unfeasible|неосуществимый
unfeasibly|неосуществимо
unharried|неторопливый
unmediated|непосредственный
unnerve|нервировать
unnerving|нервирующий
unnervingly|нервирующе
unobtrusive|ненавязчивый
unobtrusively|ненавязчиво
unobtrusiveness|ненавязчивость
unpromising|бесперспективный
unravel|распутывать
unsurpassed|непревзойдённый
unsuspected|неподозреваемый
utilitarian|утилитарный
utilization|использование
vandal|вандал
vandalize|вандалить
venomous|ядовитый
venomously|ядовито
verbatim|дословный
verily|воистину
verisimilitude|правдоподобие
veritable|настоящий
vermin|вредитель
vestigial|рудиментарный
vestigially|рудиментарно
vicinity|окрестность
vindication|оправдание
virginal|девственный
virtuosity|виртуозность
virtuoso|виртуоз
vocational|профессиональный
voracity|жадность
vortex|вихрь
wallow|валяться
wane|убывать
wayward|своевольный
wheeze|хрипеть
whir|жужжать
whirlwind|вихрь
wholly|полностью
wistful|тоскливый
wistfully|тоскливо
wordage|многословие
wordsmith|мастер слова
wrack|терзать
zoologist|зоолог
zoology|зоология
