travel|путешествовать
arctic|арктический
arena|арена
aristocracy|аристократия
armful|охапка
arouse|пробуждать
arrogant|высокомерный
artery|артерия
artificially|искусственно
artistry|мастерство
ash|зола
aspiration|стремление
aspire|стремиться
assault|нападение
assemble|собирать
assembly|собрание
assert|утверждать
assess|оценивать
assessment|оценка
assumption|предположение
assurance|уверенность
assure|заверять
astonish|изумлять
astonished|изумлённый
astonishing|изумительный
astonishment|изумление
astronomy|астрономия
athletics|лёгкая атлетика
attached|привязанный
attainable|достижимый
attainment|достижение
attendance|посещаемость
attentive|внимательный
attentively|внимательно
attractiveness|привлекательность
attribute|атрибут
atypical|нетипичный
aubergine|баклажан
audit|аудит
audition|прослушивание
authoritative|авторитетный
authorize|уполномочивать
availability|доступность
await|ожидать
awe|трепет
ax|топор
axis|ось
backup|резервная копия
backward|назад
backyard|задний двор
bad-tempered|вспыльчивый
badge|значок
balanced|сбалансированный
balky|упрямый
ballad|баллада
ballet|балет
ballot|бюллетень
ban|запрет
banker|банкир
bankrupt|разорять
bankruptcy|банкротство
barbershop|парикмахерская
barley|ячмень
barn|амбар
barometer|барометр
barren|бесплодный
barrier|барьер
bartender|бармен
bathhouse|баня
battlefield|поле боя
beagle|бигль
beak|клюв
beam|луч
bearing|подшипник
beautify|украшать
bellow|реветь
belongings|пожитки
beneficial|полезный
benevolence|доброжелательность
benevolent|доброжелательный
berry|ягода
bestow|даровать
bestseller|бестселлер
betray|предавать
bewilder|озадачивать
bewilderment|замешательство
bid|предлагать
bidding|торги
bikini|бикини
billion|миллиард
bind|связывать
bio|биография
biological|биологический
biotechnology|биотехнология
birdcage|птичья клетка
birthplace|место рождения
bitterly|горько
blade|лезвие
blast|взрыв
blaze|пламя
blindly|слепо
blindness|слепота
blink|моргать
bloodstream|кровоток
bloody|кровавый
blooming|цветущий
blossom|цветок
blur|размывать
blurt|выпалить
boiling|кипящий
bolt|болт
bombard|бомбарда
bomber|бомбардировщик
bombing|бомбардировка
bony|костлявый
bookish|книжный
booklet|буклет
bookmark|закладка
boost|подъём
booth|будка
bossy|властный
botany|ботаника
bothered|обеспокоенный
bothersome|надоедливый
bourbon|бурбон
boxer|боксёр
bracket|скобка
brag|хвастовство
bravery|храбрость
breakable|хрупкий
breakdown|поломка
breakup|разрыв
breathtaking|захватывающий
breezy|ветреный
brewery|пивоварня
brilliantly|блестяще
broadband|широкополосный интернет
broadcaster|телерадиовещатель
broaden|расширять
broadly|широко
brochure|брошюра
brother-in-law|зять
browse|просматривать
browser|браузер
bruise|синяк
bud|почка
bulimia|булимия
bully|запугивать
bum|бродяга
bumper|бампер
bun|булочка
burdensome|обременительный
bureaucracy|бюрократия
burglary|кража со взломом
burgle|взламывать
burial|похороны
bustle|суетиться
bustling|оживлённый
buzz|жужжание
cabinet|шкаф
cable|кабель
calmly|спокойно
campaign|кампания
candidate|кандидат
cane|трость
cannonball|пушечное ядро
canon|канон
capability|способность
caption|подпись
captive|пленник
caravan|караван
carbon|углерод
cardboard|картон
cardigan|кардиган
carefree|беззаботный
caring|заботливый
carnival|карнавал
carpool|совместные поездки
carve|вырезать
cascade|каскад
cast|актёрский состав
casually|небрежно
catalog|каталог
catalyst|катализатор
catastrophe|катастрофа
catastrophic|катастрофический
catchy|запоминающийся
categorization|категоризация
catering|кейтеринг
cathedral|собор
cease|прекращать
ceiling|потолок
cellar|подвал
cellist|виолончелист
cello|виолончель
cemetery|кладбище
centigrade|градус Цельсия
certificate|сертификат
certification|сертификация
certify|удостоверять
chancellor|канцлер
chaotic|хаотичный
charming|очаровательный
cheat|обманывать
checkpoint|контрольно-пропускной пункт
cheeky|дерзкий
cheerfully|весело
cheerfulness|веселье
chemotherapy|химиотерапия
cherished|заветный
cherry|вишня
chew|жевать
childish|ребячливый
chimney|дымоход
chip|чип
chop|рубить
chunk|кусок
circuit|цепь
circuitry|схема
citywide|общегородской
clam|моллюск
clap|хлопать
clarify|уточнять
classification|классификация
clause|пункт
clearness|ясность
clerical|канцелярский
client|клиент
clog|засорять
closure|закрытие
clothing|одежда
clumsy|неуклюжий
coaching|тренерство
coalition|коалиция
coarse|грубый
coastline|береговая линия
cocktail|коктейль
cocoa|какао
coconut|кокос
coherence|связность
coincide|совпадать
coincidence|совпадение
colleague|коллега
collector|коллекционер
collocation|словосочетание
colon|двоеточие
colonial|колониальный
coma|кома
comfortably|удобно
commander|командир
commemorate|увековечивать
commerce|торговля
commission|комиссия
commonwealth|содружество
communicative|общительный
commute|добираться на работу
compassion|сострадание
compassionate|сострадательный
compatible|совместимый
compensate|компенсировать
compensation|компенсация
competence|компетентность
competent|компетентный
completion|завершение
complexion|цвет лица
complexity|сложность
component|компонент
comprehension|понимание
compress|компресс
compression|сжатие
compulsory|обязательный
compute|вычислять
conceal|скрывать
concede|признавать
conceit|самомнение
conceivable|мыслимый
conceive|задумывать
conception|концепция
concession|уступка
concrete|конкретный
condemn|осуждать
conductor|дирижёр
cone|конус
conference|конференция
conferencing|проведение конференций
confess|признаваться
confession|признание
confidently|уверенно
confine|ограничивать
confront|противостоять
conjunction|союз
conquest|завоевание
conscience|совесть
consciousness|сознание
consent|согласие
considerably|значительно
consolation|утешение
console|утешать
constant|постоянный
consult|консультироваться
consultant|консультант
contaminate|загрязнять
contempt|презрение
contract|контракт
contradict|противоречить
contradiction|противоречие
contradictory|противоречивый
controversy|полемика
conveniently|удобно
convention|конвенция
converse|беседа
conversely|наоборот
conversion|преобразование
convert|преобразовывать
convinced|убеждённый
cooperate|сотрудничать
cooperation|сотрудничество
cooperative|кооперативный
cope|справляться
copper|медь
coral|коралл
core|ядро
cornerstone|краеугольный камень
cornet|корнет
corona|корона
corporal|телесный
corporate|корпоративный
corporation|корпорация
correctness|правильность
correspond|соответствовать
correspondence|переписка
correspondent|корреспондент
corresponding|соответствующий
corridor|коридор
corrupt|коррумпированный
corruption|коррупция
costly|дорогостоящий
costume|костюм
cottage|коттедж
countryman|соотечественник
countrywide|общенациональный
courtesy|вежливость
coward|трус
cowardly|трусливый
coziness|уют
cozy|уютный
crab|краб
crack|трещина
craftsman|мастер
crater|кратер
crawl|ползти
crease|складка
creation|создание
creatively|творчески
creek|ручей
creepy|жуткий
crew|экипаж
cripple|калека
critically|критически
criticism|критика
crocodile|крокодил
crossly|сердито
cruelly|жестоко
cruelty|жестокость
crystallize|кристаллизоваться
cube|куб
cubism|кубизм
cuff|манжета
culmination|кульминация
culturally|культурно
curl|локон
cursor|курсор
cyberaddict|интернет-зависимый
cybercafe|интернет-кафе
cybercrime|киберпреступность
cyberpet|виртуальный питомец
cyberschool|кибершкола
cyberspace|киберпространство
cyclist|велосипедист
daft|глупый
dandelion|одуванчик
darling|любимый
dash|тире
data|данные
database|база данных
dated|устаревший
daughter-in-law|невестка
dawn|рассвет
daytime|светлое время суток
dearly|горячо
debit|дебет
decade|десятилетие
decay|разрушаться
deceive|обманывать
decent|приличный
deceptive|обманчивый
decisive|решительный
deck|палуба
decomposition|разложение
decorate|украшать
decoration|украшение
decorative|декоративный
dedication|преданность
deduce|делать вывод
deduction|вычет
deem|считать
deer|олень
deforestation|вырубка лесов
defy|бросать вызов
dehumanize|дегуманизировать
delegate|делегат
deliberately|намеренно
delicacy|деликатес
delicately|деликатно
demanding|требовательный
demolish|сносить
denim|деним
dense|плотный
densely|плотно
dental|зубной
dependable|надёжный
deputy|заместитель
descend|спускаться
descriptive|описательный
desirable|желательный
desktop|рабочий стол
desolation|запустение
desperately|отчаянно
desperation|отчаяние
despise|презирать
destiny|судьба
detach|отсоединять
detachment|отстранённость
detailed|подробный
detect|обнаруживать
determined|решительный
determiner|определитель
developing|развивающийся
devil|дьявол
devote|посвящать
devoted|преданный
diarrhea|диарея
dictator|диктатор
digest|дайджест
dignify|придавать достоинство
dignity|достоинство
dilemma|дилемма
dim|тусклый
dime|десятицентовая монета
dimension|измерение
dip|окунать
diphtheria|дифтерия
diploma|диплом
diplomat|дипломат
disappearance|исчезновение
disapproval|неодобрение
disapprove|не одобрять
discharge|выписка
disciple|ученик
discipline|дисциплина
disconnect|отключать
discredit|дискредитировать
discriminate|дискриминировать
disgrace|позор
disguise|маскировка
dishonesty|нечестность
disillusion|разочаровывать
dismiss|увольнять
disorder|беспорядок
disorderly|беспорядочный
disorganized|дезорганизованный
dispensable|необязательный
displace|вытеснять
displeasure|недовольство
disposal|распоряжение
disposition|характер
dispute|спор
disqualify|дисквалифицировать
disregard|пренебрежение
disrupt|нарушать
dissatisfaction|неудовлетворённость
dissatisfied|недовольный
dissident|диссидент
distinguished|выдающийся
distortion|искажение
distract|отвлекать
distraction|отвлечение
distressing|тревожный
distributor|дистрибьютор
diversion|отвлечение
divert|отвлекать
divided|разделённый
division|деление
divorce|развод
dna|ДНК
dock|док
domestic|домашний
dominate|доминировать
donate|жертвовать
donation|пожертвование
donkey|осёл
doom|гибель
doorkeeper|привратник
doorway|дверной проём
dorm|общежитие
dormitory|общежитие
dose|доза
doubly|вдвойне
doubtful|сомнительный
dove|голубь
downfall|крах
downsize|сокращать
dowry|приданое
draft|черновик
drain|сток
dramatically|резко
drapery|драпировка
dread|бояться
dreadful|ужасный
dreamy|мечтательный
drinkable|питьевой
droop|поникание
dropout|отсев
drought|засуха
duel|дуэль
dumb|немой
duplicate|дубликат
duplication|дублирование
dwarf|карлик
dye|краситель
dynamic|динамичный
eagerly|с нетерпением
eagle|орёл
earnings|заработок
ease|лёгкость
eastward|на восток
ecologically|экологически
ecologist|эколог
economical|экономный
economist|экономист
ecstatic|восторженный
edit|правка
editorial|редакционная статья
educated|образованный
educator|педагог
effectively|эффективно
effectiveness|эффективность
elect|избирать
elective|факультативный
electrician|электрик
electronically|электронно
electronics|электроника
elegance|элегантность
elegant|элегантный
elegantly|элегантно
elemental|стихийный
eligible|подходящий
elite|элита
eloquence|красноречие
embassy|посольство
embrace|объятие
emergence|появление
emphatically|категорически
employ|нанимать
employee|сотрудник
employer|работодатель
endeavor|усилие
endlessly|бесконечно
endurance|выносливость
enduring|стойкий
energy|энергия
enforce|применять
engagement|обязательство
engulf|поглощать
enroll|записываться
enterprise|предприятие
entertaining|развлекательный
enthusiastically|с энтузиазмом
entitle|давать право
entrepreneur|предприниматель
environmentally|экологически
equation|уравнение
equip|оснащать
equity|справедливость
erect|прямой
erupt|извергаться
eruption|извержение
essayist|эссеист
essentially|по существу
estate|имение
estimated|приблизительный
eternally|вечно
ethic|этика
ethnic|этнический
evacuate|эвакуировать
evacuation|эвакуация
evaluation|оценка
everlasting|вечный
evidently|очевидно
evil|злой
evolution|эволюция
evolve|развиваться
exactness|точность
exaggerate|преувеличивать
exaggeration|преувеличение
exalt|возвышать
examinee|экзаменуемый
excel|превосходить
exception|исключение
exceptional|исключительный
exceptionally|исключительно
excessive|чрезмерный
exclaim|восклицать
exclude|исключать
exclusion|исключение
exclusively|исключительно
excursion|экскурсия
execute|исполнять
execution|исполнение
executive|исполнительный
exhaust|выхлоп
exhausting|изнурительный
exhaustion|истощение
exhibit|выставлять
exile|изгнание
existing|существующий
exotic|экзотический
expansion|расширение
expectation|ожидание
expected|ожидаемый
expedition|экспедиция
explode|взрываться
exploit|эксплуатировать
explorer|исследователь
explosive|взрывчатый
export|экспорт
expressive|выразительный
exquisite|изысканный
extension|расширение
extensive|обширный
extract|экстракт
extraordinarily|необычайно
exultant|ликующий
eyebrow|бровь
eyelash|ресница
eyelid|веко
fabric|ткань
fabulous|сказочный
facilitate|облегчать
facilities|оборудование
faculty|факультет
faith|вера
falter|колебаться
fame|слава
familiarize|знакомить
fantastically|фантастически
fascinated|очарованный
fascination|очарование
fatal|смертельный
fate|судьба
father-in-law|тесть
faulty|неисправный
fearsome|страшный
feat|подвиг
federal|федеральный
feedback|обратная связь
ferryboat|паром
fiber|волокно
fictional|вымышленный
fierce|свирепый
fighting|борьба
figurative|переносный
filial|сыновний
financially|финансово
finely|тонко
fingernail|ноготь
firearm|огнестрельное оружие
fireplace|камин
firmness|твёрдость
firstly|во-первых
fiscal|фискальный
fixed|фиксированный
flame|пламя
flap|махать
flaw|недостаток
flawless|безупречный
flax|лён
flee|бежать
fleet|флот
flesh|плоть
flexibility|гибкость
flexibly|гибко
flip|переворачивать
fluency|беглость
fluid|текучий
flutter|трепет
follower|последователь
folly|глупость
fondly|нежно
foolishly|глупо
footnote|сноска
foreman|бригадир
foresee|предвидеть
forestry|лесоводство
formation|формирование
formerly|прежде
formidable|грозный
forthcoming|предстоящий
foul|отвратительный
fox|лиса
fragrance|аромат
frankly|откровенно
frantically|неистово
fraud|мошенничество
freak|пугаться
friendly|дружелюбный
frigate|фрегат
frontier|граница
frugal|бережливый
fulfill|выполнять
fume|дым
functional|функциональный
functionality|функциональность
fundamental|фундаментальный
funk|уныние
funky|модный
furious|яростный
furiously|яростно
furor|фурор
gaiety|веселье
gambling|азартные игры
gang|банда
gangster|гангстер
gardener|садовник
gasp|вздох
gateway|ворота
gaudy|кричащий
gaze|взгляд
gear|снаряжение
generalization|обобщение
generalize|обобщать
generosity|щедрость
generously|щедро
genius|гений
genre|жанр
gently|мягко
genuinely|искренне
geographic|географический
germ|микроб
getaway|побег
ghetto|гетто
giveaway|подарок
glacis|гласис
glamorous|гламурный
glare|слепящий свет
gleam|проблеск
glee|радость
globally|глобально
glocal|глокальный
gloomy|мрачный
glorify|прославлять
glow|свечение
goat|коза
god|бог
godly|благочестивый
goodwill|доброжелательность
gook|грязь
gorge|ущелье
governmental|правительственный
gracefulness|грациозность
gradual|постепенный
grain|зерно
grand|величественный
graphically|наглядно
grasp|хватка
gravestone|надгробие
gravitation|гравитация
greatness|величие
grief|горе
grieve|горевать
grim|мрачный
grin|ухмылка
grip|хватка
gross|грубый
growing|растущий
grown-up|взрослый
guerrilla|партизан
guideline|руководство
gulp|глоток
gum|десна
gunshot|выстрел
guts|кишки
gymnastic|гимнастический
habitant|житель
hail|приветствовать
hairy|волосатый
handicap|помеха
handicraft|ремесло
handout|листовка
handrail|перила
hardware|оборудование
harmless|безвредный
harrow|борона
haste|спешка
hastily|поспешно
hatching|штриховка
haunting|неотступный
hay|сено
hazardous|опасный
headquarters|штаб
heap|куча
heartbreaking|душераздирающий
heartwarming|трогательный
hedge|живая изгородь
helicopter|вертолёт
hell|ад
helper|помощник
hemp|конопля
herb|трава
heritage|наследие
hesitation|колебание
high-tech|высокотехнологичный
hijack|угон
hilarious|уморительный
hint|подсказка
holder|держатель
hollow|полый
holocaust|холокост
homeward|домашний
hone|точильный камень
honorable|почётный
hood|капюшон
hook|крючок
hospice|хоспис
hospitable|гостеприимный
hospitality|гостеприимство
hospitalize|госпитализировать
hourly|ежечасный
housekeeper|экономка
housemaster|воспитатель
housewife|домохозяйка
hover|парить
hugely|огромно
humane|гуманный
humanist|гуманист
humanize|гуманизировать
humble|скромный
humbug|обман
humiliate|унижать
humiliating|унизительный
humiliation|унижение
hunting|охота
hush|замолчать
hybrid|гибридный
hygiene|гигиена
hyperbole|гипербола
hyphen|дефис
iceman|продавец льда
icon|икона
icy|ледяной
ideally|идеально
identical|идентичный
identification|идентификация
ideology|идеология
idiot|идиот
idle|праздный
idolize|боготворить
ignorance|невежество
ignorant|невежественный
illustrate|иллюстрировать
illustration|иллюстрация
imagery|образность
imitation|имитация
immerse|погружать
immigrant|иммигрант
immoral|аморальный
immortal|бессмертный
immortality|бессмертие
impatiently|нетерпеливо
imperative|императив
impermanent|непостоянный
impolite|невежливый
impolitely|невежливо
import|импортировать
impose|навязывать
impossibility|невозможность
impractical|непрактичный
impressed|впечатлённый
impressionism|импрессионизм
impressionist|импрессионист
imprison|заключать под стражу
imprisonment|заключение
improbable|маловероятный
improperly|ненадлежащим образом
improved|улучшенный
impulse|импульс
impulsive|импульсивный
inaccurate|неточный
inadequate|недостаточный
inanimate|неодушевлённый
inborn|врождённый
incense|благовоние
incentive|стимул
incur|навлекать
incurable|неизлечимый
indebted|обязанный
indent|делать отступ
independently|самостоятельно
indescribable|неописуемый
index|индекс
indifferent|равнодушный
indignity|унижение
indulge|потакать
indulgent|снисходительный
industrialize|индустриализировать
ineffective|неэффективный
inert|инертный
inexperienced|неопытный
infant|младенец
infect|заражать
infected|заражённый
infectious|заразный
infer|делать вывод
inflammation|воспаление
inflammatory|воспалительный
inflate|надувать
inflation|инфляция
influential|влиятельный
influenza|грипп
informal|неформальный
infringe|нарушать
infringement|нарушение
inhabit|населять
inherit|наследовать
injection|инъекция
injured|травмированный
innocently|невинно
innovation|инновация
innovative|инновационный
input|ввод
inquire|справляться
inseparable|неразлучный
inspect|проверять
inspector|инспектор
inspirational|вдохновляющий
instantly|мгновенно
instill|внушать
instinct|инстинкт
institution|учреждение
instruct|инструктировать
insufficient|недостаточный
insult|оскорбление
integrate|интегрировать
intellectual|интеллектуальный
intent|намеренный
interactive|интерактивный
interfere|вмешиваться
interior|интерьер
interpersonal|межличностный
interpretation|интерпретация
interpreter|переводчик
interruption|прерывание
intersection|перекрёсток
intimate|близкий
intransitive|непереходный
intravenous|внутривенный
intrude|вторгаться
intruder|злоумышленник
intrusion|вторжение
invariable|неизменный
invariably|неизменно
inventor|изобретатель
investigate|расследовать
investigator|следователь
investment|инвестиция
investor|инвестор
invisible|невидимый
invitingly|заманчиво
invoke|ссылаться
involvement|участие
ironically|иронично
irrational|иррациональный
irresistible|неотразимый
irresistibly|неотразимо
irresponsible|безответственный
irritated|раздражённый
irritating|раздражающий
irritation|раздражение
islander|островитянин
italicize|выделять курсивом
itch|чесаться
jaw|челюсть
jealously|ревниво
jeopardize|подвергать опасности
jeweler|ювелир
journalism|журналистика
judo|дзюдо
juror|присяжный
jury|жюри
kangaroo|кенгуру
karaoke|караоке
keen|увлечённый
keeper|хранитель
kerosene|керосин
keystroke|нажатие клавиши
kneel|стоять на коленях
knot|узел
knowingly|сознательно
known|известный
label|этикетка
laborer|рабочий
lame|хромой
lance|копьё
landing|посадка
landlady|хозяйка
landslide|оползень
lap|колени
laptop|ноутбук
lark|жаворонок
laser|лазер
last-minute|последний момент
lastly|наконец
laundry|стирка
lava|лава
lawmaker|законодатель
lawn|газон
lawsuit|иск
layabout|лентяй
leaflet|листовка
leak|утечка
learning|обучение
lease|аренда
leash|поводок
lecturer|лектор
leek|лук-порей
legend|легенда
legendary|легендарный
legislate|законодательствовать
legislation|законодательство
legislative|законодательный
legislator|законодатель
legislature|законодательный орган
legitimate|законный
leisurely|неторопливо
lengthen|удлинять
lengthy|длинный
leopard|леопард
liberal|либеральный
lick|лизать
lid|крышка
lifeless|безжизненный
lifetime|жизнь
lighten|облегчать
lighting|освещение
likewise|также
limb|конечность
linen|лён
liner|лайнер
ling|вереск
linger|задерживаться
listener|слушатель
literal|буквальный
literally|буквально
litter|мусор
loan|заём
lobby|лобби
loneliness|одиночество
long-distance|дальний
long-term|долгосрочный
loosely|свободно
lousy|отвратительный
lower|опускать
lowland|низменность
lush|пышный
luxurious|роскошный
lyrics|текст песни
madam|мадам
madame|мадам
madness|безумие
maestro|маэстро
magnify|увеличивать
malady|недуг
malaria|малярия
mama|мама
mango|манго
manipulate|манипулировать
mansion|особняк
manual|ручной
manufacture|производство
manufacturer|производитель
manufacturing|производство
marathon|марафон
margin|поле
marketing|маркетинг
mask|маска
massacre|резня
massage|массаж
masseur|массажист
master|мастер
masterpiece|шедевр
mastery|мастерство
mate|товарищ
mathematical|математический
mausoleum|мавзолей
means|средство
mechanize|механизировать
media|средства массовой информации
medication|лекарство
medieval|средневековый
mediocre|посредственный
melody|мелодия
memorial|мемориал
mentor|наставник
merchandise|товар
mercy|милосердие
merge|сливаться
merger|слияние
messenger|посыльный
metaphor|метафора
metric|метрический
micro|микро
microbe|микроб
microcomputer|микрокомпьютер
micrometer|микрометр
microorganism|микроорганизм
microphone|микрофон
microscope|микроскоп
microscopic|микроскопический
microscopy|микроскопия
microwave|микроволновая печь
midst|середина
mighty|могущественный
migration|миграция
mill|мельница
millimeter|миллиметр
millionaire|миллионер
mimic|подражатель
mine|шахта
miniature|миниатюрный
minister|министр
mint|мята
misconception|заблуждение
misfortune|несчастье
misleading|вводящий в заблуждение
missile|ракета
mist|туман
mistreat|плохо обращаться
mistrustful|недоверчивый
misunderstand|неправильно понимать
mixture|смесь
mobility|мобильность
mock|поддельный
modernization|модернизация
modernize|модернизировать
modest|скромный
modification|модификация
mogul|магнат
mold|форма
momentarily|на мгновение
momentary|мгновенный
monastery|монастырь
moody|угрюмый
moonlight|лунный свет
moonscape|лунный пейзаж
morality|мораль
morally|морально
mortal|смертный
mortar|раствор
mortgage|ипотека
mortify|унижать
mother-in-law|свекровь
motion|движение
motivated|мотивированный
motorbike|мотоцикл
motorist|автомобилист
mournful|скорбный
mover|грузчик
moving|трогательный
muddy|грязный
multiple|многочисленный
multiply|умножать
mumble|бормотание
murmur|шёпот
muse|размышлять
mustache|усы
mutability|изменчивость
mutable|изменчивый
mutter|бормотание
mutton|баранина
mystify|озадачивать
nano|нано
narcissistic|нарциссический
narrator|рассказчик
narrowly|едва
nationwide|общенациональный
naughty|непослушный
naval|морской
navigate|навигировать
navigation|навигация
navy|военно-морской флот
neat|аккуратный
necessarily|обязательно
necessity|необходимость
needless|ненужный
needy|нуждающийся
negatively|отрицательно
neglect|пренебрежение
neighboring|соседний
neither|также не
nerve|нерв
nerves|нервы
nervously|нервно
netsurfer|интернет-серфер
neurosis|невроз
newscaster|диктор
newsworthy|заслуживающий внимания
nicely|хорошо
nightclub|ночной клуб
nightmare|кошмар
nobility|знать
noble|благородный
nobleman|дворянин
nomad|кочевник
nomination|номинация
nominee|номинант
non-smoking|для некурящих
nonprofessional|непрофессиональный
northward|на север
nostril|ноздря
nought|ноль
nourish|питать
nourishment|питание
novelty|новинка
nuisance|помеха
numerical|числовой
nursery|детская
nut|орех
nutshell|ореховая скорлупа
oath|клятва
obedience|послушание
obedient|послушный
obey|подчиняться
obituary|некролог
obligation|обязательство
observer|наблюдатель
obsess|одержимо преследовать
obsession|навязчивая идея
obsessive|навязчивый
odd|странный
offend|обижать
offender|правонарушитель
offense|правонарушение
offhand|небрежно
offshore|офшорный
ointment|мазь
olive|олива
olympia|Олимпия
olympiad|олимпиада
openly|открыто
operator|оператор
opponent|противник
optimism|оптимизм
optimist|оптимист
optimistic|оптимистичный
optional|необязательный
orator|оратор
orchestral|оркестровый
orchid|орхидея
organizer|организатор
originality|оригинальность
originally|первоначально
originate|происходить
ornament|украшение
ounce|унция
outback|глубинка
outbreak|вспышка
outdistance|обгонять
outdo|превосходить
outfit|наряд
outgrow|перерастать
outing|вылазка
outlet|выход
outlive|переживать
outlook|мировоззрение
outpatient|амбулаторный больной
output|продукция
outrage|возмущение
outrageous|возмутительный
outshine|затмевать
outsider|посторонний
outskirts|окраина
outwardly|внешне
oval|овальный
overboard|за борт
overbook|перебронировать
overcoat|пальто
overemphasize|чрезмерно подчёркивать
overestimate|переоценивать
overhear|подслушивать
overlap|перекрытие
overlook|упускать из виду
overly|чрезмерно
overshadow|затмевать
oversize|увеличенный
overstep|превышать
overtake|обгонять
overthrow|свергать
overtime|сверхурочно
overturn|опрокидывать
ow|ой
owl|сова
ox|бык
ozone|озон
pa|папа
packed|переполненный
packet|пакет
pad|блокнот
paintbrush|кисть
pajamas|пижама
pallet|поддон
pancake|блин
pandemic|пандемический
panel|панель
papaya|папайя
paperless|безбумажный
paperwork|документация
parade|парад
paradox|парадокс
paralysis|паралич
paramedic|фельдшерский
paratrooper|десантник
parliament|парламент
participation|участие
particle|частица
particular|особый
partisan|партизан
partnership|партнёрство
passionate|страстный
passionately|страстно
pastor|пастор
pastoral|пасторальный
patch|заплата
patiently|терпеливо
patriot|патриот
patriotic|патриотический
patriotism|патриотизм
patron|покровитель
pave|мостить
pavement|тротуар
paw|лапа
pawnbroker|ростовщик
pawnshop|ломбард
payment|оплата
peacefully|мирно
peach|персик
peak|пик
pearl|жемчужина
pebble|галька
pedal|педаль
pedantic|педантичный
pedestrian|пешеход
pee|писать
peel|кожура
peep|взгляд
peer|ровесник
peg|крючок
penalize|штрафовать
penalty|штраф
penetrate|проникать
penguin|пингвин
penicillin|пенициллин
pension|пенсия
pentagon|пятиугольник
percentage|процент
perception|восприятие
permanence|постоянство
permeate|пронизывать
perseverance|упорство
persist|настаивать
persistence|настойчивость
persistent|настойчивый
personification|олицетворение
personify|олицетворять
personnel|персонал
perspective|перспектива
perspiration|пот
